# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
xuan cuo 	选错	c=2 d=5.19425e-30 t=389086
xuan fu 	悬浮	c=4 d=2.72848e-44 t=389086
xuan fu chuang 	悬浮窗	c=3 d=3.90764e-152 t=389086
xuan nian 	悬念	c=1 d=4.68786e-176 t=389086
xuan ran 	渲染	c=63 d=6.21923e-23 t=389086
xuan ren 	选人	c=1 d=1.45886e-90 t=389086
xuan sui 	选岁	c=1 d=5.01361e-231 t=389086
xuan ti 	选题	c=2 d=1.65915e-221 t=389086
xuan xiang 	选项	c=57 d=0.000724521 t=389086
xuan xiang ka 	选项卡	c=7 d=7.45401e-191 t=389086
xuan ze 	选择	c=79 d=4.0783e-06 t=389086
xuan ze qi 	选择器	c=1 d=1.86504e-303 t=389086
xuan ze ti 	选择题	c=1 d=1.32946e-203 t=389086
xuan zhe 	悬着	c=5 d=5.89808e-25 t=389086
xuan zhong 	选中	c=23 d=0.00185476 t=389086
xuan zhong tiao 	选中条	c=1 d=4.05346e-230 t=389086
xuan zhuan 	旋转	c=4 d=6.7754e-188 t=389086
xuan zhuang 	选装	c=1 d=7.66045e-277 t=389086
xue 	削	c=4 d=0.00117088 t=389086
xue 	学	c=82 d=0.060961 t=389086
xue 	血	c=15 d=4.83543e-10 t=389086
xue 	雪	c=2 d=0.0918512 t=389086
xue beng 	雪崩	c=6 d=3.1491e-113 t=389086
xue bu dong 	学不动	c=1 d=0.000620491 t=389086
xue dao 	学到	c=4 d=2.03698e-76 t=389086
xue di 	学弟	c=3 d=2.37189e-90 t=389086
xue fei 	学费	c=1 d=1.08785e-255 t=389086
xue fen 	学分	c=1 d=1.03306e-206 t=389086
xue ge 	学个	c=1 d=0 t=389086
xue guo 	学过	c=1 d=7.94032e-258 t=389086
xue hua 	雪花	c=14 d=0.00128757 t=389086
xue hui 	学会	c=2 d=5.52184e-73 t=389086
xue jie 	学姐	c=1 d=3.04088e-84 t=389086
xue li 	学历	c=1 d=0 t=389086
xue lian 	雪莲	c=1 d=4.39092e-259 t=389086
xue mai 	血脉	c=2 d=4.70781e-79 t=389086
xue qi 	学期	c=1 d=4.00738e-242 t=389086
xue sha 	学啥	c=2 d=5.81329e-178 t=389086
xue sheng 	学生	c=15 d=0.722981 t=389086
xue shu 	学术	c=2 d=1.2874e-119 t=389086
xue xi 	学习	c=30 d=0.814647 t=389086
xue xiao 	学校	c=34 d=0.810584 t=389086
xue xing 	血型	c=1 d=2.04253e-108 t=389086
xue ya 	血压	c=3 d=8.97814e-114 t=389086
xue zhang 	学长	c=4 d=3.02572e-84 t=389086
xun 	寻	c=1 d=1.44209e-101 t=389086
xun 	迅	c=1 d=1.44932e-101 t=389086
xun huan 	循环	c=9 d=7.46211e-145 t=389086
xun lian 	训练	c=3 d=5.96872e-18 t=389086
xun su 	迅速	c=1 d=0 t=389086
xun zhang 	勋章	c=3 d=0 t=389086
xun zhao 	寻找	c=1 d=2.76633e-59 t=389086
xun zhi 	寻址	c=4 d=9.44453e-57 t=389086
ya 	亚	c=1 d=0.484325 t=389086
ya 	压	c=4 d=7.46308e-29 t=389086
ya 	呀	c=562 d=0.840612 t=389086
ya 	牙	c=7 d=1.30069e-34 t=389086
ya 	雅	c=1 d=0 t=389086
ya ce 	压测	c=7 d=9.46409e-75 t=389086
ya chi 	牙齿	c=2 d=4.7684e-53 t=389086
ya dian na 	雅典娜	c=2 d=8.05955e-10 t=389086
ya jie shi 	牙结石	c=1 d=1.05933e-266 t=389086
ya jin 	押金	c=1 d=2.79728e-131 t=389086
ya li 	压力	c=2 d=3.82815e-28 t=389086
ya lian 	亚连	c=2 d=9.6305e-58 t=389086
ya se 	亚瑟	c=1 d=8.57673e-77 t=389086
ya si 	雅思	c=1 d=1.40845e-88 t=389086
ya suo 	压缩	c=17 d=5.48198e-76 t=389086
ya yi 	压抑	c=1 d=3.11839e-86 t=389086
ya yi 	牙医	c=1 d=1.01779e-266 t=389086
ya yin 	牙龈	c=4 d=9.57735e-31 t=389086
ya zha 	压榨	c=3 d=3.71457e-291 t=389086
ya zhou 	亚洲	c=1 d=0 t=389086
ya zi 	鸭子	c=2 d=1.45383e-255 t=389086
yan 	严	c=19 d=5.27652e-08 t=389086
yan 	炎	c=2 d=5.19114e-258 t=389086
yan 	烟	c=4 d=1.31292e-144 t=389086
yan 	盐	c=1 d=1.75186e-08 t=389086
yan 	眼	c=15 d=5.87985e-18 t=389086
yan 	研	c=3 d=5.3459e-45 t=389086
yan 	言	c=1 d=0 t=389086
yan 	验	c=23 d=2.94567e-23 t=389086
yan bi 	延毕	c=1 d=6.72039e-178 t=389086
yan cao 	烟草	c=1 d=5.72498e-145 t=389086
yan cha 	严查	c=1 d=0 t=389086
yan chang 	延长	c=2 d=1.53701e-145 t=389086
yan chang 	演唱	c=1 d=2.64469e-30 t=389086
yan chi 	延迟	c=150 d=1.86128e-05 t=389086
yan chu 	演出	c=1 d=8.39213e-262 t=389086
yan di 	炎帝	c=4 d=1.50662e-116 t=389086
yan ge 	严格	c=16 d=3.1969e-55 t=389086
yan ge 	阉割	c=1 d=1.81212e-141 t=389086
yan hou 	延后	c=6 d=2.13516e-71 t=389086
yan hua 	演化	c=1 d=1.13328e-207 t=389086
yan jiang 	演讲	c=1 d=8.41521e-118 t=389086
yan jing 	眼睛	c=1 d=0 t=389086
yan jing 	眼镜	c=8 d=3.10497e-108 t=389086
yan jiu 	研究	c=7 d=8.05418e-14 t=389086
yan jiu sheng 	研究生	c=5 d=2.41164e-33 t=389086
yan ke 	眼科	c=1 d=0 t=389086
yan lei 	眼泪	c=1 d=0.771052 t=389086
yan lun 	言论	c=1 d=1.02028e-89 t=389086
yan lun zi you 	言论自由	c=1 d=1.90386e-75 t=389086
yan qi 	延期	c=6 d=9.20547e-27 t=389086
yan se 	颜色	c=64 d=8.70197e-11 t=389086
yan she 	衍射	c=1 d=0 t=389086
yan shi 	延时	c=14 d=3.6104e-133 t=389086
yan shi 	掩饰	c=1 d=0 t=389086
yan shi 	演示	c=1 d=0 t=389086
yan shu 	眼熟	c=4 d=2.99389e-136 t=389086
yan wu 	烟雾	c=1 d=4.27547e-34 t=389086
yan xu 	延续	c=1 d=6.36529e-157 t=389086
yan yuan 	演员	c=1 d=4.71552e-157 t=389086
yan zheng 	验证	c=82 d=7.63273e-12 t=389086
yan zheng ma 	验证码	c=11 d=2.0729e-17 t=389086
yan zhi 	研制	c=1 d=1.12089e-166 t=389086
yan zhi 	颜指	c=1 d=1.12651e-166 t=389086
yan zhong 	严重	c=12 d=1.18197e-55 t=389086
yang 	养	c=9 d=0.20089 t=389086
yang 	央	c=1 d=7.7669e-116 t=389086
yang 	杨	c=1 d=7.55815e-119 t=389086
yang 	样	c=51 d=2.65516e-06 t=389086
yang 	洋	c=2 d=1.77339e-34 t=389086
yang 	阳	c=1 d=0 t=389086
yang guang 	阳光	c=3 d=2.03663e-74 t=389086
yang guo 	杨过	c=4 d=2.58186e-100 t=389086
yang ji 	样机	c=1 d=1.48606e-72 t=389086
yang lao 	养老	c=2 d=0.207008 t=389086
yang lao jin 	养老金	c=2 d=2.58211e-13 t=389086
yang sheng 	养生	c=3 d=1.65217e-289 t=389086
yang shi 	样式	c=76 d=0.100049 t=389086
yang wei 	阳痿	c=4 d=5.2123e-12 t=389086
yang zi 	样子	c=61 d=0.810584 t=389086
yao 	咬	c=1 d=0 t=389086
yao 	药	c=1 d=0 t=389086
yao 	要	c=1683 d=2.09328 t=389086
yao an 	要按	c=3 d=6.86104e-157 t=389086
yao ba 	要把	c=2 d=9.89425e-258 t=389086
yao bei 	要被	c=6 d=3.02295e-132 t=389086
yao bi 	要比	c=4 d=7.64296e-162 t=389086
yao bu 	要不	c=26 d=0.0128424 t=389086
yao bu ran 	要不然	c=1 d=3.17115e-195 t=389086
yao bu shi 	要不是	c=1 d=1.31524e-106 t=389086
yao bu yao 	要不要	c=19 d=4.38743e-44 t=389086
yao bu yao jia 	要不要加	c=1 d=3.98522e-148 t=389086
yao ce shi 	要测试	c=1 d=0 t=389086
yao dai 	要带	c=1 d=1.506e-24 t=389086
yao dao 	要到	c=2 d=2.80595e-138 t=389086
yao deng 	要等	c=13 d=1.24693e-08 t=389086
yao dian 	要点	c=7 d=6.31156e-28 t=389086
yao fa song 	要发送	c=1 d=0 t=389086
yao fan 	要饭	c=1 d=0 t=389086
yao gai sha 	要改啥	c=1 d=2.9356e-140 t=389086
yao gan 	要干	c=2 d=2.57013e-164 t=389086
yao gao 	要搞	c=2 d=7.83644e-162 t=389086
yao gei 	要给	c=4 d=4.97754e-58 t=389086
yao guo qi 	要过器	c=3 d=5.66145e-102 t=389086
yao he 	药盒	c=2 d=0 t=389086
yao hui zhi 	要回执	c=1 d=0 t=389086
yao jia 	要加	c=6 d=2.19003e-46 t=389086
yao jian rong 	要兼容	c=1 d=7.27339e-79 t=389086
yao jiang 	要将	c=1 d=1.67321e-232 t=389086
yao jiu ban 	要就半	c=1 d=1.62044e-208 t=389086
yao kai 	要开	c=4 d=1.84863e-52 t=389086
yao kai shi 	要开始	c=1 d=4.0507e-222 t=389086
yao kan 	要看	c=79 d=0.0020601 t=389086
yao kao 	要靠	c=1 d=2.73763e-289 t=389086
yao kao kan 	要靠看	c=1 d=3.68647e-143 t=389086
yao kao shi 	要考试	c=2 d=7.49776e-201 t=389086
yao lai 	要来	c=3 d=2.86087e-72 t=389086
yao mai 	要买	c=1 d=0 t=389086
yao mai 	要卖	c=1 d=3.18572e-102 t=389086
yao me 	要么	c=52 d=1.9074 t=389086
yao na 	要拿	c=1 d=0 t=389086
yao nei zhi 	要内置	c=1 d=5.98669e-259 t=389086
yao ni 	要你	c=2 d=3.15157e-181 t=389086
yao nong 	要弄	c=1 d=1.11575e-112 t=389086
yao pei zhi 	要配置	c=1 d=0 t=389086
yao qian 	要钱	c=15 d=9.79635e-53 t=389086
yao qing 	邀请	c=4 d=3.3274e-259 t=389086
yao qiu 	要求	c=167 d=0.917049 t=389086
yao qu 	要去	c=8 d=1.72039e-30 t=389086
yao rang 	要让	c=1 d=2.07819e-47 t=389086
yao rong 	要容	c=1 d=3.20244e-46 t=389086
yao shang 	咬伤	c=1 d=3.59216e-191 t=389086
yao shang ban 	要上班	c=1 d=1.61327e-09 t=389086
yao shang bao 	要上报	c=1 d=2.1303e-103 t=389086
yao she zhi 	要设置	c=1 d=2.43324e-79 t=389086
yao shi 	要是	c=19 d=3.45844e-39 t=389086
yao shi 	钥匙	c=1 d=3.66419e-13 t=389086
yao shi wo 	要是我	c=1 d=0 t=389086
yao shuo 	要说	c=1 d=1.42803e-74 t=389086
yao ti huan 	要替换	c=1 d=1.79447e-261 t=389086
yao wen 	要问	c=1 d=1.24147e-74 t=389086
yao wo 	要我	c=4 d=2.41706e-30 t=389086
yao xiao mi 	要小米	c=1 d=0 t=389086
yao xie 	要写	c=4 d=3.22171e-234 t=389086
yao xuan 	夭玹	c=1 d=1.27807e-151 t=389086
yao ya 	咬牙	c=1 d=0 t=389086
yao yan 	谣言	c=1 d=3.01945e-89 t=389086
yao yao wu qi 	遥遥无期	c=3 d=7.47221e-14 t=389086
yao yong 	要用	c=27 d=2.30341e-14 t=389086
yao you 	要有	c=8 d=6.2624e-83 t=389086
yao zai 	要在	c=7 d=3.48786e-21 t=389086
yao zhao 	要找	c=4 d=7.54065e-33 t=389086
yao zhui 	腰椎	c=2 d=1.35226e-109 t=389086
yao zou 	要走	c=4 d=1.54923e-181 t=389086
yao zuo 	要做	c=3 d=3.92281e-80 t=389086
ye 	业	c=4 d=4.85645e-33 t=389086
ye 	也	c=1183 d=1.04995 t=389086
ye 	夜	c=12 d=5.73175e-12 t=389086
ye 	爷	c=144 d=0.00039354 t=389086
ye 	野	c=12 d=2.38661e-28 t=389086
ye 	页	c=44 d=2.18338e-20 t=389086
ye ba 	也把	c=1 d=9.55874e-117 t=389086
ye ban 	夜班	c=1 d=9.25424e-236 t=389086
ye bei 	也被	c=4 d=2.39653e-106 t=389086
ye bi 	也比	c=1 d=0.000145549 t=389086
ye bi ni 	也比你	c=1 d=2.06391e-201 t=389086
ye bi wo 	也比我	c=1 d=0 t=389086
ye bian 	夜变	c=1 d=0 t=389086
ye bian cheng 	也变成	c=1 d=0 t=389086
ye bu 	也不	c=20 d=3.02385e-18 t=389086
ye bu cha 	也不差	c=2 d=6.3592e-87 t=389086
ye bu cheng 	也不成	c=1 d=0 t=389086
ye bu da 	也不大	c=2 d=2.17195e-213 t=389086
ye bu dui 	也不对	c=2 d=1.89707e-33 t=389086
ye bu duo 	也不多	c=4 d=1.84421e-171 t=389086
ye bu fang bian 	也不方便	c=1 d=1.1776e-129 t=389086
ye bu gan 	也不敢	c=2 d=5.01767e-123 t=389086
ye bu gao 	也不高	c=2 d=5.7243e-127 t=389086
ye bu gui 	也不贵	c=1 d=0 t=389086
ye bu hao 	也不好	c=3 d=2.19376e-66 t=389086
ye bu hao shuo 	也不好说	c=2 d=0.0572688 t=389086
ye bu hui 	也不会	c=1 d=3.63591e-157 t=389086
ye bu ka 	也不卡	c=2 d=9.36149e-107 t=389086
ye bu ke neng 	也不可能	c=1 d=0 t=389086
ye bu qi 	也不起	c=1 d=0 t=389086
ye bu qing chu 	也不清楚	c=1 d=1.86148e-163 t=389086
ye bu qu fen 	也不区分	c=1 d=1.69058e-89 t=389086
ye bu shou 	夜不收	c=5 d=0.790571 t=389086
ye bu suan 	也不算	c=4 d=0.740818 t=389086
ye bu tai 	也不太	c=1 d=3.32785e-233 t=389086
ye bu tai hao 	也不太好	c=2 d=7.91848e-255 t=389086
ye bu wei hu 	也不维护	c=1 d=3.79397e-187 t=389086
ye bu xiang 	也不想	c=1 d=1.68532e-258 t=389086
ye bu xing 	也不行	c=30 d=1.4183e-23 t=389086
ye bu xu yao 	也不需要	c=2 d=6.59924e-258 t=389086
ye bu yao 	也不要	c=1 d=1.79856e-229 t=389086
ye bu yao qiu 	也不要求	c=1 d=2.60853e-162 t=389086
ye bu yi de 	也不一的	c=1 d=0 t=389086
ye bu yi ding 	也不一定	c=2 d=2.2146e-89 t=389086
ye bu yi yang 	也不一样	c=6 d=3.87202e-15 t=389086
ye bu ying xiang 	也不影响	c=1 d=1.76098e-304 t=389086
ye bu yong 	也不用	c=10 d=1.2232e-76 t=389086
ye bu zhi dao 	也不知道	c=17 d=4.98533e-47 t=389086
ye cai 	也才	c=5 d=2.63472e-15 t=389086
ye chu 	也出	c=1 d=1.6741e-62 t=389086
ye de 	也得	c=21 d=2.7206e-10 t=389086
ye dou 	也都	c=1 d=1.43124e-71 t=389086
ye dou shi 	也都是	c=2 d=2.69364e-128 t=389086
ye duo 	也多	c=1 d=0 t=389086
ye fang bian 	也方便	c=2 d=1.78089e-113 t=389086
ye gan 	也敢	c=2 d=3.17037e-104 t=389086
ye gei 	也给	c=1 d=0 t=389086
ye gou 	也够	c=1 d=8.25567e-275 t=389086
ye hai 	也还	c=1 d=1.1288e-43 t=389086
ye hai hao 	也还好	c=3 d=3.31651e-46 t=389086
ye hai mei 	也还没	c=2 d=1.76377e-117 t=389086
ye hao 	也好	c=1 d=0 t=389086
ye hao duo 	也好多	c=1 d=1.89372e-71 t=389086
ye hao kan 	也好看	c=1 d=2.88235e-13 t=389086
ye he wo 	也和我	c=1 d=4.03596e-91 t=389086
ye hen 	也很	c=9 d=0.00711891 t=389086
ye hen duo 	也很多	c=2 d=6.10199e-160 t=389086
ye hen yong 	也很用	c=1 d=1.11605e-27 t=389086
ye huai 	也坏	c=1 d=9.074e-93 t=389086
ye hui 	也会	c=51 d=0.99005 t=389086
ye hui yong 	也会用	c=4 d=2.68348e-113 t=389086
ye ji ben 	也基本	c=1 d=1.58242e-164 t=389086
ye jian 	夜间	c=3 d=7.53077e-298 t=389086
ye jiao 	也叫	c=2 d=2.19555e-105 t=389086
ye jie 	业界	c=1 d=0 t=389086
ye jiu 	也就	c=26 d=0.00115923 t=389086
ye jiu shi 	也就是	c=19 d=3.87268e-17 t=389086
ye jiu you 	也就有	c=1 d=0 t=389086
ye ke cheng 	也课程	c=1 d=2.23936e-14 t=389086
ye ke neng 	也可能	c=5 d=2.0266e-16 t=389086
ye ke yi 	也可以	c=4 d=1.04703e-70 t=389086
ye ke yi chi 	也可以吃	c=1 d=1.41561e-177 t=389086
ye keng 	叶铿	c=0 d=2.87591e-164 t=389086
ye keng ni 	叶铿你	c=1 d=2.89033e-163 t=389086
ye kuai 	也快	c=4 d=8.12604e-89 t=389086
ye kuai cheng 	也快成	c=1 d=7.17714e-275 t=389086
ye lai 	也来	c=3 d=1.45341e-46 t=389086
ye ma 	页码	c=2 d=0 t=389086
ye mei 	也没	c=173 d=1.12516e-05 t=389086
ye mei bi 	也没必	c=1 d=0 t=389086
ye mei duo da 	也没多大	c=1 d=1.24072e-155 t=389086
ye mei ge 	也没个	c=1 d=5.33322e-164 t=389086
ye mei ren 	也没人	c=4 d=9.23341e-92 t=389086
ye mei sha 	也没啥	c=24 d=3.92039e-14 t=389086
ye mei shuo 	也没说	c=3 d=0.060205 t=389086
ye mei yong 	也没用	c=5 d=3.37718e-24 t=389086
ye mei you 	也没有	c=3 d=1.55822e-71 t=389086
ye mian 	页面	c=157 d=0.144424 t=389086
ye neng 	也能	c=72 d=0.000898306 t=389086
ye neng yong 	也能用	c=2 d=8.8823e-224 t=389086
ye neng zai 	也能在	c=1 d=0 t=389086
ye qu 	夜曲	c=1 d=1.61444e-135 t=389086
ye qu 	野区	c=2 d=0.00141589 t=389086
ye shi 	也是	c=515 d=0.99371 t=389086
ye shi chang 	也市场	c=1 d=2.58004e-268 t=389086
ye shi ge 	也是个	c=2 d=0 t=389086
ye shi zhe ge 	也是这个	c=1 d=2.26822e-282 t=389086
ye shuo 	也说	c=3 d=2.56994e-75 t=389086
ye suan 	也算	c=23 d=0.0222592 t=389086
ye ting 	也挺	c=6 d=1.42333e-94 t=389086
ye ting hao 	也挺好	c=1 d=2.78866e-271 t=389086
ye wan 	夜晚	c=3 d=3.337e-89 t=389086
ye wu 	业务	c=626 d=0.177643 t=389086
ye wu 	也无	c=4 d=2.63974e-08 t=389086
ye xiang 	也像	c=1 d=5.59844e-88 t=389086
ye xiang 	也想	c=4 d=5.81008e-54 t=389086
ye xiang yao 	也想要	c=1 d=2.886e-116 t=389086
ye xing 	也行	c=210 d=0.000118578 t=389086
ye yao 	也要	c=122 d=0.0596059 t=389086
ye yao ge 	也要个	c=1 d=1.07034e-270 t=389086
ye yao jia 	也要加	c=1 d=1.09944e-27 t=389086
ye yao kan 	也要看	c=1 d=2.73982e-34 t=389086
ye yao yong 	也要用	c=1 d=0 t=389086
ye ye 	爷爷	c=1 d=6.09537e-206 t=389086
ye yi yang 	也一样	c=3 d=3.36613e-14 t=389086
ye yi zhi 	也一直	c=1 d=1.47193e-136 t=389086
ye yong 	也用	c=4 d=8.48478e-156 t=389086
ye yong de 	也用的	c=1 d=0 t=389086
ye you 	也有	c=204 d=0.00653915 t=389086
ye you dian 	也有点	c=3 d=6.11382e-124 t=389086
ye you ge 	也有个	c=4 d=3.33381e-19 t=389086
ye you ke neng 	也有可能	c=1 d=1.37163e-188 t=389086
ye you ren 	也有人	c=3 d=5.23769e-10 t=389086
ye zai 	也在	c=26 d=0.557106 t=389086
ye zai xiang 	也在想	c=1 d=6.04603e-228 t=389086
ye zai yong 	也在用	c=2 d=9.11232e-25 t=389086
ye zhe yang 	也这样	c=4 d=1.26896e-67 t=389086
ye zheng chang 	也正常	c=3 d=5.08917e-113 t=389086
ye zhi dao 	也知道	c=1 d=1.58726e-53 t=389086
ye zhi shi 	也只是	c=1 d=0 t=389086
yi 	一	c=114 d=0.0615697 t=389086
yi 	义	c=5 d=4.29867e-127 t=389086
yi 	亿	c=32 d=0.181772 t=389086
yi 	以	c=36 d=2.4989e-10 t=389086
yi 	医	c=1 d=2.23248e-301 t=389086
yi 	咦	c=12 d=2.19472e-34 t=389086
yi 	姨	c=1 d=3.47795e-252 t=389086
yi 	已	c=212 d=5.93455e-05 t=389086
yi 	异	c=1 d=2.71923e-151 t=389086
yi 	意	c=2 d=1.86566e-160 t=389086
yi 	易	c=84 d=1.03188e-13 t=389086
yi 	翼	c=1 d=8.08472e-176 t=389086
yi ba 	一把	c=5 d=0.000536738 t=389086
yi ba zhang 	一巴掌	c=10 d=8.74821e-104 t=389086
yi bai ci 	一白次	c=1 d=8.86892e-30 t=389086
yi bai wan 	一百万	c=1 d=0 t=389086
yi ban 	一半	c=45 d=3.15735e-16 t=389086
yi ban 	一版	c=3 d=1.77739e-178 t=389086
yi ban 	一般	c=313 d=0.8723 t=389086
yi ban ren 	一般人	c=1 d=1.4962e-05 t=389086
yi bao 	一包	c=2 d=2.84176e-52 t=389086
yi bao 	医保	c=4 d=4.00286e-53 t=389086
yi bei 	一倍	c=9 d=4.97262e-17 t=389086
yi bei zi 	一辈子	c=7 d=3.05333e-132 t=389086
yi ben 	一本	c=2 d=0 t=389086
yi bian 	一遍	c=75 d=0.298197 t=389086
yi bian dao 	一边倒	c=1 d=0.918512 t=389086
yi bo 	一波	c=6 d=2.7295e-19 t=389086
yi bu 	一步	c=9 d=4.59906e-10 t=389086
yi bu 	异步	c=13 d=1.31233e-80 t=389086
yi bu dao wei 	一步到位	c=4 d=1.50186e-20 t=389086
yi bu deng tian 	一步登天	c=1 d=1.3849e-213 t=389086
yi bu fen 	一部分	c=7 d=8.09593e-16 t=389086
yi bu zhu yi 	一不注意	c=2 d=3.27783e-55 t=389086
yi ce 	一侧	c=1 d=7.45268e-42 t=389086
yi ceng 	一层	c=8 d=1.74794e-11 t=389086
yi ceng ceng 	一层层	c=1 d=1.05315e-256 t=389086
yi cha 	一查	c=2 d=1.08773e-195 t=389086
yi chang 	一场	c=2 d=7.71264e-63 t=389086
yi chang 	异常	c=8 d=1.55779e-09 t=389086
yi chi 	一尺	c=2 d=0 t=389086
yi chong 	益虫	c=3 d=2.21129e-42 t=389086
yi chu 	溢出	c=13 d=7.18012e-111 t=389086
yi chuan 	一串	c=2 d=6.39399e-298 t=389086
yi chuan 	遗传	c=1 d=0 t=389086
yi ci 	一次	c=241 d=1.37407 t=389086
yi ci 	以此	c=1 d=0 t=389086
yi ci 	依次	c=12 d=0.00047367 t=389086
yi ci xing 	一次性	c=21 d=4.79327e-26 t=389086
yi da 	一打	c=1 d=2.79356e-86 t=389086
yi dan 	一旦	c=2 d=0 t=389086
yi dao 	移到	c=1 d=2.81372e-288 t=389086
yi dian 	一点	c=242 d=1.06529 t=389086
yi dian dian 	一点点	c=6 d=0.451581 t=389086
yi dian ni 	一点你	c=1 d=0 t=389086
yi ding 	一定	c=42 d=0.000235222 t=389086
yi dong 	一栋	c=1 d=4.52321e-79 t=389086
yi dong 	移动	c=59 d=2.55372e-30 t=389086
yi dong duan 	移动端	c=9 d=0 t=389086
yi dou 	一抖	c=1 d=1.46669e-241 t=389086
yi duan 	一段	c=13 d=7.67704e-38 t=389086
yi dui 	一堆	c=96 d=0.888759 t=389086
yi dun 	一顿	c=13 d=3.67981e-63 t=389086
yi er 	伊尔	c=1 d=0 t=389086
yi fa 	已发	c=2 d=6.76574e-22 t=389086
yi fan 	一番	c=1 d=7.67418e-63 t=389086
yi fen 	一份	c=19 d=4.76612e-18 t=389086
yi fen 	一分	c=3 d=1.48449e-89 t=389086
yi fen qian 	一分钱	c=2 d=6.62704e-43 t=389086
yi fen zhong kan 	一分钟看	c=1 d=1.94378e-172 t=389086
yi fu 	衣服	c=7 d=2.02889e-88 t=389086
yi gan 	乙肝	c=5 d=1.2424e-42 t=389086
yi ge 	一个	c=1675 d=1.12887 t=389086
yi ge dian 	一个点	c=1 d=4.2822e-170 t=389086
yi ge ge 	一格格	c=1 d=0 t=389086
yi ge yi ge 	一个一个	c=1 d=1.79409e-141 t=389086
yi gen 	一根	c=1 d=1.08732e-73 t=389086
yi gong 	一共	c=89 d=5.35497e-05 t=389086
yi guo 	一锅	c=1 d=4.15843e-31 t=389086
yi guo 	已过	c=1 d=3.45509e-292 t=389086
yi hang 	一行	c=56 d=5.12312e-44 t=389086
yi hang hang 	一行行	c=3 d=2.59039e-80 t=389086
yi he 	一盒	c=1 d=8.77804e-144 t=389086
yi hou 	以后	c=85 d=0.000259956 t=389086
yi huan 	一环	c=1 d=2.84236e-172 t=389086
yi hui 	一会	c=80 d=0.120633 t=389086
yi hui shi 	一回事	c=4 d=2.02447e-33 t=389086
yi huo 	疑惑	c=9 d=9.48136e-139 t=389086
yi ji 	一级	c=24 d=3.02418e-72 t=389086
yi ji 	一集	c=1 d=2.67038e-173 t=389086
yi ji 	以及	c=75 d=0.000154554 t=389086
yi jia 	一家	c=1 d=0 t=389086
yi jia 	一架	c=1 d=7.03644e-248 t=389086
yi jia luan zhen 	以假乱真	c=1 d=5.2737e-179 t=389086
yi jian 	一件	c=1 d=6.3131e-119 t=389086
yi jian 	一建	c=3 d=7.30952e-150 t=389086
yi jian 	一键	c=3 d=1.36106e-148 t=389086
yi jian 	意见	c=1 d=0 t=389086
yi jiao 	一觉	c=2 d=0 t=389086
yi jie 	一届	c=3 d=5.79656e-75 t=389086
yi jie 	一截	c=3 d=5.90074e-294 t=389086
yi jie 	一节	c=2 d=0 t=389086
yi jie duan 	一阶段	c=1 d=1.31974e-293 t=389086
yi jin 	一进	c=1 d=9.50914e-144 t=389086
yi jing 	一惊	c=0 d=4.51e-75 t=389086
yi jing 	已经	c=851 d=0.852144 t=389086
yi jing yi zha 	一惊一炸	c=1 d=4.53261e-74 t=389086
yi ju 	一句	c=4 d=1.42536e-52 t=389086
yi ju hua 	一句话	c=3 d=1.04938e-67 t=389086
yi kai 	一开	c=1 d=0.494109 t=389086
yi kai fa 	已开发	c=1 d=8.63881e-103 t=389086
yi kan 	一看	c=40 d=0.0111647 t=389086
yi kou 	一口	c=3 d=0.0119742 t=389086
yi kou qi 	一口气	c=2 d=1.16494e-237 t=389086
yi kuai 	一块	c=1 d=1.46348e-39 t=389086
yi la ke 	伊拉克	c=1 d=8.64771e-262 t=389086
yi lai 	一来	c=4 d=6.64943e-112 t=389086
yi lai 	依赖	c=85 d=0.465334 t=389086
yi leng 	一愣	c=0 d=0 t=389086
yi liang 	一两	c=0 d=7.24621e-36 t=389086
yi liang ge 	一两个	c=2 d=3.76786e-194 t=389086
yi liang ge yue 	一两个月	c=1 d=7.28253e-35 t=389086
yi liang nian 	一两年	c=1 d=3.89929e-215 t=389086
yi liao 	医疗	c=1 d=1.48233e-160 t=389086
yi lie 	一列	c=9 d=7.93807e-49 t=389086
yi liu 	遗留	c=3 d=0 t=389086
yi lou 	遗漏	c=15 d=1.84991e-31 t=389086
yi lun 	一轮	c=1 d=0.00900478 t=389086
yi man 	已满	c=1 d=1.02254e-262 t=389086
yi mian 	一面	c=2 d=2.21003e-241 t=389086
yi miao 	疫苗	c=3 d=6.27841e-43 t=389086
yi min 	移民	c=1 d=1.64229e-101 t=389086
yi mo 	一抹	c=2 d=3.33817e-240 t=389086
yi mo yi yang 	一模一样	c=35 d=0.00814786 t=389086
yi mu liao ran 	一目了然	c=6 d=7.47307e-221 t=389086
yi mu shi hang 	一目十行	c=1 d=1.04599e-29 t=389086
yi nei 	以内	c=2 d=4.57538e-118 t=389086
yi nian 	一年	c=92 d=9.36481e-06 t=389086
yi nian ban 	一年半	c=1 d=5.95514e-50 t=389086
yi pi 	一批	c=35 d=2.58563e-29 t=389086
yi pian 	一片	c=1 d=2.09461e-257 t=389086
yi pian 	一篇	c=1 d=0 t=389086
yi pie 	一瞥	c=0 d=4.59582e-179 t=389086
yi pin 	一拼	c=1 d=1.64487e-90 t=389086
